Title	Author	Date	Tags	Author Info	Author Link	Work Title	Work Type	Work Minor Title	Work Link	Work ID	Work Pages	Work Rights	Work Rights Holder	Publisher	Publisher City	Date Added	Body	Body as HTML	Author Last Name First	Author File Name	Author Wikimedia Page	Work HTML Line	Work Rights HTML Line
Art, Science and Empire	William Blake		art, science			unknown	unknown					Public Domain				2007-02-28 05:26:45	The foundation of empire is art and science. Remove them or degrade them, and the empire is no more. Empire follows art and not vice versa as Englishmen suppose.	<p>The foundation of empire is art and science. Remove them or degrade them, and the empire is no more. Empire follows art and not vice versa as Englishmen suppose.</p>	Blake, William	william-blake	William_Blake		<span class='rights'>Public Domain</span> 
Symbolic Language	David Christian	2008	critical thinking, humanism, written word			This Fleeting World: A Short History of Humanity	Book			1933782048				Berkshire Publishing Group		2014-04-09 18:54:37	At the moment, the most powerful marker, the feature that distinguishes our species most decisively from closely related species, appears to be symbolic language. Many animals can communicate with each other and share information in rudimentary ways. But humans are the only creatures who can communicate using symbolic language: a system of arbitrary symbols that can be linked by formal grammars to create a nearly limitless variety of precise utterances. Symbolic language greatly enhanced the precision of human communication and the range of ideas that humans can exchange. Symbolic language allowed people for the first time to talk about entities that were not immediately present (including experiences and events in the past and future) as well as entities whose existence was not certain (such as souls, demons, and dreams). 	<p>At the moment, the most powerful marker, the feature that distinguishes our species most decisively from closely related species, appears to be symbolic language. Many animals can communicate with each other and share information in rudimentary ways. But humans are the only creatures who can communicate using symbolic language: a system of arbitrary symbols that can be linked by formal grammars to create a nearly limitless variety of precise utterances. Symbolic language greatly enhanced the precision of human communication and the range of ideas that humans can exchange. Symbolic language allowed people for the first time to talk about entities that were not immediately present (including experiences and events in the past and future) as well as entities whose existence was not certain (such as souls, demons, and dreams).</p>	Christian, David	david-christian	David_Christian	the <span class='sourcetype'>Book</span> <cite class='majortitle'>This Fleeting World: A Short History of Humanity</cite>, <span class='publisher'>Berkshire Publishing Group</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933782048/portablewisdo-20' class='isbn'>1933782048</a> 	
Six Impossible Things Before Breakfast	Lewis Carroll	1871	critical thinking			Through the Looking Glass	Book			1840220740						2010-11-21 07:23:15	"I can't believe that!" said Alice. "Can't you?" the Queen said in a pitying tone. "Try again: draw a long breath, and shut your eyes." Alice laughed. "There's no use trying," she said "one can't believe impossible things." "I daresay you haven't had much practice," said the Queen. "When I was your age, I always did it for half-an-hour a day. Why, sometimes I've believed as many as six impossible things before breakfast."	<p>&ldquo;I can&rsquo;t believe that!&rdquo; said Alice.</p> <p>&ldquo;Can&rsquo;t you?&rdquo; the Queen said in a pitying tone. &ldquo;Try again: draw a long breath, and shut your eyes.&rdquo;</p> <p>Alice laughed. &ldquo;There&rsquo;s no use trying,&rdquo; she said &ldquo;one can&rsquo;t believe impossible things.&rdquo;</p> <p>&ldquo;I daresay you haven&rsquo;t had much practice,&rdquo; said the Queen. &ldquo;When I was your age, I always did it for half-an-hour a day. Why, sometimes I&rsquo;ve believed as many as six impossible things before breakfast.&rdquo;</p>	Carroll, Lewis	lewis-carroll	Lewis_Carroll	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Through the Looking Glass</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1840220740/portablewisdo-20' class='isbn'>1840220740</a> 	
National parks and reserves	John F. Kennedy		property			unknown	unknown									2016-11-07 13:52:48	The supreme reality of our time is ... the vulnerability of our planet. National parks and reserves are an integral aspect of intelligent use of natural resources. It is the course of wisdom to set aside an ample portion of our natural resources as national parks and reserves, thus ensuring that future generations may know the majesty of the earth as we know it today.	<p>The supreme reality of our time is &hellip; the vulnerability of our planet.</p> <p>National parks and reserves are an integral aspect of intelligent use of natural resources. It is the course of wisdom to set aside an ample portion of our natural resources as national parks and reserves, thus ensuring that future generations may know the majesty of the earth as we know it today.</p>	Kennedy, John F.	john-f.-kennedy	John_F._Kennedy		
A Work Ethic Gone Mad	Matthew Stewart	2009	balance, humanism			The Management Myth: Why the Experts Keep Getting it Wrong	Book			0393065537	280-281	Copyright	Matthew Stewart	W. W. Norton and Company	New York, London	2010-02-27 13:29:06	The blend of corporate mysticism and transcendental consumerism he [Tom Peters] offers has its roots planted in the pragmatic, optimistic, can-do American work ethic. But, like the Taylorist philosophy from which it springs, it is also a work ethic gone mad. It begins with the idea that work can be meaningful and stretches it to the point where there is no meaning outside work. It becomes a deluded form of optimism, a feverish activity that masks an underlying anxiety about the meaning of life, a form of self-alienation so complete that the self disappears entirely into its consumer preferences and transactions.	<p>The blend of corporate mysticism and transcendental consumerism he [Tom Peters] offers has its roots planted in the pragmatic, optimistic, can-do American work ethic. But, like the Taylorist philosophy from which it springs, it is also a work ethic gone mad. It begins with the idea that work can be meaningful and stretches it to the point where there is no meaning outside work. It becomes a deluded form of optimism, a feverish activity that masks an underlying anxiety about the meaning of life, a form of self-alienation so complete that the self disappears entirely into its consumer preferences and transactions.</p>	Stewart, Matthew	matthew-stewart	Matthew_Stewart	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Management Myth: Why the Experts Keep Getting it Wrong</cite>, <span class='city'>New York, London</span>: <span class='publisher'>W. W. Norton and Company</span>, pages&nbsp;<span class='pages'>280-281</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0393065537/portablewisdo-20' class='isbn'>0393065537</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Matthew Stewart</span>
The Love of What We are Doing	Wynton Marsalis	2008	love			Moving to Higher Ground: How Jazz Can Change Your Life	Book			1400060788	40	Copyright	Wynton Marsalis Enterprises	Random House	New York	2010-10-23 11:28:26	It's a labor of love for all of us. It's not contrived or fake and it's not about money (it's too much work to be about money). It's about the love of what we are doing. That's the center of what it is about, and that's the center of what anything of great human value is always about. It's about that love that you have for humanity in our commonality. And to experience all of the things that are in this music like heartbreak and joy and many other things -- a certain type of striving and struggle -- it's a part of the life we all live together.	<p>It&rsquo;s a labor of love for all of us. It&rsquo;s not contrived or fake and it&rsquo;s not about money (it&rsquo;s too much work to be about money). It&rsquo;s about the love of what we are doing. That&rsquo;s the center of what it is about, and that&rsquo;s the center of what anything of great human value is always about. It&rsquo;s about that love that you have for humanity in our commonality. And to experience all of the things that are in this music like heartbreak and joy and many other things &ndash; a certain type of striving and struggle &ndash; it&rsquo;s a part of the life we all live together.</p>	Marsalis, Wynton	wynton-marsalis	Wynton_Marsalis	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Moving to Higher Ground: How Jazz Can Change Your Life</cite>, <span class='city'>New York</span>: <span class='publisher'>Random House</span>, page&nbsp;<span class='pages'>40</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1400060788/portablewisdo-20' class='isbn'>1400060788</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Wynton Marsalis Enterprises</span>
The World is a Wonderfully Weird Place	Tom Robbins	2007	liberty, love, wonder			Gracie Goes to Schooner School	Interview		http://www.seattlepi.com/ae/books/article/Gracie-goes-to-schooner-school-1238432.php							2007-05-26 21:32:40	The world is a wonderfully weird place, consensual reality is significantly flawed, no institution can be trusted, certainty is a mirage, security a delusion, and the tyranny of the dull mind forever threatens -- but our lives are not as limited as we think they are, all things are possible, laughter is holier than piety, freedom is sweeter than fame, and in the end it's love and love alone that really matters.	<p>The world is a wonderfully weird place, consensual reality is significantly flawed, no institution can be trusted, certainty is a mirage, security a delusion, and the tyranny of the dull mind forever threatens &ndash; but our lives are not as limited as we think they are, all things are possible, laughter is holier than piety, freedom is sweeter than fame, and in the end it&rsquo;s love and love alone that really matters.</p>	Robbins, Tom	tom-robbins	Tom_Robbins	the <span class='sourcetype'>Interview</span> <cite class='majortitle'><a href='http://www.seattlepi.com/ae/books/article/Gracie-goes-to-schooner-school-1238432.php' rel='source'>Gracie Goes to Schooner School</a></cite>	
To end up here in a pile of bones	Frank Capra	1984	humanism			Bill Moyers	Interview									2018-04-16 10:59:52	Not until we showed them some of the stuff we got at Dachau, that George Stevens photographed with his crew, did it actually impinge itself on the mind of the horror, the horror of this whole thing.  Man, the highest of all the animals... the Man who created God... to end up here in a pile of bones, burned... it left me just speechless, colorless, bloodless. I couldn't possibly believe that there was this kind of savagery in the world, you see. 	<p>Not until we showed them some of the stuff we got at Dachau, that George Stevens photographed with his crew, did it actually impinge itself on the mind of the horror, the horror of this whole thing.  Man, the highest of all the animals&hellip; the Man who created God&hellip; to end up here in a pile of bones, burned&hellip; it left me just speechless, colorless, bloodless. I couldn&rsquo;t possibly believe that there was this kind of savagery in the world, you see.</p>	Capra, Frank	frank-capra	Frank_Capra	the <span class='sourcetype'>Interview</span> <cite class='majortitle'>Bill Moyers</cite>	
It is foolish to view realism and idealism as incompatible	John McCain	May 8, 2017	balance			New York Times	Article	Why We Must Support Human Rights	https://www.nytimes.com/2017/05/08/opinion/john-mccain-rex-tillerson-human-rights.html			Copyright	The New York Times Company			2017-05-08 07:22:12	I consider myself a realist. I have certainly seen my share of the world as it really is and not how I wish it would be. What I've learned is that it is foolish to view realism and idealism as incompatible or to consider our power and wealth as encumbered by the demands of justice, morality and conscience.	<p>I consider myself a realist. I have certainly seen my share of the world as it really is and not how I wish it would be. What I&rsquo;ve learned is that it is foolish to view realism and idealism as incompatible or to consider our power and wealth as encumbered by the demands of justice, morality and conscience.</p>	McCain, John	john-mccain	John_McCain	the <span class='sourcetype'>Article</span> <cite class='majortitle'>New York Times</cite>, <cite class='minortitle'>&#8220;Why We Must Support Human Rights&#8221;</cite>	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>The New York Times Company</span>
Preparing Managers to Manage	Matthew Stewart	2009	education			The Management Myth: Why the Experts Keep Getting it Wrong	Book			0393065537	291	Copyright	Matthew Stewart	W. W. Norton and Company	New York, London	2010-02-27 13:07:00	The time has come to recognize that higher education in management rests on a fatal fallacy. The idea behind the contemporary business school is that preparing future business managers means training them in a discipline called Business Management. After 100 years of fruitless attempts to produce such a discipline, it should be clear that it does not exist. Preparing managers to manage, in fact, is not different from preparing people to live in a civilized world. Managers do not need to be trained; they need to be <em>educated.</em> And for that purpose, although a certain amount of study of business-related subjects may prove useful, the business schools as they are presently constituted are at best superfluous.	<p>The time has come to recognize that higher education in management rests on a fatal fallacy. The idea behind the contemporary business school is that preparing future business managers means training them in a discipline called Business Management. After 100 years of fruitless attempts to produce such a discipline, it should be clear that it does not exist. Preparing managers to manage, in fact, is not different from preparing people to live in a civilized world. Managers do not need to be trained; they need to be <em>educated.</em> And for that purpose, although a certain amount of study of business-related subjects may prove useful, the business schools as they are presently constituted are at best superfluous.</p>	Stewart, Matthew	matthew-stewart	Matthew_Stewart	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Management Myth: Why the Experts Keep Getting it Wrong</cite>, <span class='city'>New York, London</span>: <span class='publisher'>W. W. Norton and Company</span>, page&nbsp;<span class='pages'>291</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0393065537/portablewisdo-20' class='isbn'>0393065537</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Matthew Stewart</span>
